Sector,MSME_ID,Export_Volume_PreFTA,Export_Volume_PostFTA_Est,Tariff_PreFTA,Tariff_PostFTA,UK_Demand_Growth,Production_Capacity,Export_Experience,Logistics_Cost,Certifications,Workforce_Size,FTA_Access_Score,UK_Market_Share,Sentiment_Score,Exchange_Rate_Impact,Procurement_Opportunity,Innovation_Index,Target_Export_Growth
leather,MSME_LE28742,8.56,9.46,17.29,4.91,-5.0,100.93,12,1.58,3,161,0.23,6.97,0.52,2.83,False,0.49,83.13
footwear,MSME_FO28743,4.59,6.81,5.69,3.34,6.98,13.02,15,4.53,1,264,0.38,2.77,0.55,3.11,False,0.42,95.47
alcoholic beverages,MSME_AL28744,1.5,2.22,136.85,38.46,0.17,96.73,16,1.47,2,176,0.36,6.16,0.48,3.14,False,0.38,94.79
textiles,MSME_TE28745,6.71,9.8,15.37,0.51,12.15,135.18,12,2.42,1,499,0.79,5.08,0.78,-2.33,False,0.36,68.68
pharmaceuticals,MSME_PH28746,5.33,7.51,22.95,4.09,6.25,196.19,7,3.19,2,349,0.57,5.43,0.86,-2.04,False,0.49,29.04
gems and jewelry,MSME_GE28747,2.67,2.95,4.2,1.8,8.85,133.06,4,0.79,2,172,0.51,5.93,0.7,-0.14,False,0.31,87.8
leather,MSME_LE28748,3.5,4.48,31.11,2.62,-3.79,104.39,15,2.98,3,29,0.36,5.83,0.52,-2.2,False,0.32,7.57
chemicals,MSME_CH28749,3.0500000000000003,3.4,38.34,2.82,9.32,29.49,3,3.05,2,301,0.7,3.45,0.62,2.27,True,0.47,47.75
leather,MSME_LE28750,1.61,2.07,2.1,2.52,-2.93,23.72,0,0.73,1,402,0.0,4.44,0.59,-8.51,False,0.46,30.97
gems and jewelry,MSME_GE28751,3.85,4.72,10.79,1.13,4.68,127.19,19,2.34,0,461,0.56,4.98,0.65,0.73,False,0.47,32.58
alcoholic beverages,MSME_AL28752,4.76,5.61,131.93,30.49,4.47,21.93,2,0.95,0,257,0.5,2.63,0.41,-3.1,False,0.45,37.97
marine products,MSME_MA28753,0.95,1.42,18.31,1.99,0.66,123.72,9,2.82,2,86,0.46,9.33,0.48,7.0,False,0.33,76.94
marine products,MSME_MA28754,3.29,4.41,6.4,4.13,12.74,184.26,13,1.23,0,59,0.5,1.31,0.54,8.82,False,0.35,71.66
chemicals,MSME_CH28755,10.549999999999999,14.97,35.62,1.15,1.63,183.16,19,0.09,2,258,0.52,2.24,0.76,-1.22,True,0.43,92.97
pharmaceuticals,MSME_PH28756,3.86,5.63,2.65,2.03,12.31,132.89,0,0.16,3,344,0.42,7.8,0.82,-6.76,False,0.86,30.15
gems and jewelry,MSME_GE28757,0.5,0.64,10.65,2.96,1.43,48.1,0,1.65,3,188,0.4,9.55,0.67,-7.61,False,0.4,74.95
gems and jewelry,MSME_GE28758,6.319999999999999,8.57,39.21,2.28,13.93,18.08,18,4.55,2,316,0.82,1.53,0.59,-5.75,False,0.43,22.63
footwear,MSME_FO28759,2.16,3.24,17.49,3.99,7.96,43.79,8,3.04,3,325,0.58,5.02,0.6,1.73,False,0.46,80.55
footwear,MSME_FO28760,7.5,10.86,0.05,3.0,14.81,79.42,15,2.79,1,332,0.0,9.21,0.57,9.28,False,0.45,16.25
marine products,MSME_MA28761,7.4399999999999995,10.01,38.31,1.17,5.41,49.66,17,0.7,0,316,0.62,7.75,0.59,-5.29,False,0.49,89.21
textiles,MSME_TE28762,1.56,2.2,18.53,0.07,3.02,64.26,10,0.87,2,173,0.57,0.51,0.78,1.47,False,0.31,89.27
gems and jewelry,MSME_GE28763,0.72,0.8,18.61,4.17,1.68,7.81,8,0.59,1,264,0.43,9.71,0.49,-4.81,False,0.4,78.14
leather,MSME_LE28764,2.94,3.84,2.35,0.48,2.86,61.87,14,3.75,2,419,0.47,6.63,0.51,7.08,False,0.45,35.08
electronics,MSME_EL28765,1.9600000000000002,2.65,34.98,2.29,18.03,36.44,6,0.41,1,414,0.92,5.7,0.81,1.89,True,0.87,90.03
marine products,MSME_MA28766,14.299999999999999,16.98,29.86,2.65,4.35,49.91,9,3.93,0,158,0.56,4.14,0.61,3.52,False,0.41,22.67
textiles,MSME_TE28767,15.799999999999999,17.57,17.24,4.68,8.59,76.44,14,1.44,1,189,0.58,2.12,0.69,-4.11,False,0.36,82.72
marine products,MSME_MA28768,1.82,2.11,26.86,1.69,10.93,57.35,4,1.62,0,146,0.74,4.3,0.54,0.12,False,0.39,34.2
chemicals,MSME_CH28769,1.0,1.4,10.77,4.64,8.9,94.61,17,3.22,2,246,0.51,8.67,0.67,-0.5,True,0.37,92.73
footwear,MSME_FO28770,0.91,1.07,39.74,0.65,2.22,105.51,19,1.25,3,438,0.55,8.1,0.56,4.54,False,0.31,52.85
marine products,MSME_MA28771,0.99,1.39,18.72,1.35,9.7,133.25,5,0.98,1,20,0.71,7.09,0.59,8.12,False,0.39,7.91
electronics,MSME_EL28772,4.17,4.62,13.5,3.69,19.51,82.1,8,3.97,0,89,0.85,3.48,0.68,8.94,True,0.89,52.34
chemicals,MSME_CH28773,2.67,3.24,15.15,1.41,13.03,166.6,5,2.2,3,299,0.78,7.83,0.65,-7.23,True,0.45,9.23
electronics,MSME_EL28774,0.4,0.58,22.75,0.24,14.73,147.32,0,2.83,1,151,0.86,8.39,0.74,7.85,True,0.71,30.41
textiles,MSME_TE28775,4.77,6.99,15.54,3.84,15.0,28.03,12,2.94,0,207,0.75,6.64,0.65,3.86,False,0.31,16.23
gems and jewelry,MSME_GE28776,18.130000000000003,23.38,8.3,1.05,10.84,124.54,10,3.64,2,34,0.71,8.69,0.58,-7.75,False,0.33,17.26
leather,MSME_LE28777,10.85,15.6,12.2,1.92,2.81,187.23,8,1.0,1,81,0.49,6.57,0.56,4.76,False,0.45,21.21
marine products,MSME_MA28778,3.21,4.8,13.75,1.73,6.99,114.86,14,2.34,2,173,0.61,1.59,0.58,-0.78,False,0.38,73.55
footwear,MSME_FO28779,6.59,9.81,37.53,0.39,7.24,45.27,7,3.7,3,441,0.68,9.06,0.53,8.99,False,0.47,72.55
pharmaceuticals,MSME_PH28780,4.909999999999999,6.4,5.64,1.98,7.03,52.39,6,4.97,5,492,0.5,4.67,0.8,2.58,False,0.84,32.01
pharmaceuticals,MSME_PH28781,1.2100000000000002,1.46,10.96,4.79,13.76,77.65,18,1.08,3,431,0.63,0.88,0.8,-6.05,False,0.7,64.96
electronics,MSME_EL28782,8.69,12.42,7.64,4.5,14.79,122.31,5,2.47,2,421,0.58,3.98,0.67,-5.36,True,0.85,60.68
alcoholic beverages,MSME_AL28783,6.84,9.96,132.05,31.03,7.89,71.68,7,4.83,2,200,0.58,9.88,0.48,-8.17,False,0.43,16.14
gems and jewelry,MSME_GE28784,4.76,5.9,32.55,2.2,11.23,163.4,7,3.72,3,317,0.75,2.54,0.6,-2.79,False,0.37,52.87
marine products,MSME_MA28785,6.84,7.55,32.5,2.21,13.41,174.15,16,3.38,1,148,0.8,4.52,0.57,7.66,False,0.34,78.87
chemicals,MSME_CH28786,0.63,0.8,36.15,3.41,8.06,101.73,14,3.75,1,67,0.65,2.14,0.74,9.96,True,0.41,43.4
electronics,MSME_EL28787,11.15,15.11,34.03,4.38,12.11,90.38,9,2.35,2,413,0.74,7.64,0.71,1.09,True,0.54,98.1
alcoholic beverages,MSME_AL28788,2.94,3.52,103.91,33.9,8.8,116.19,4,4.78,3,458,0.56,3.22,0.48,4.19,False,0.34,13.76
gems and jewelry,MSME_GE28789,0.9,1.01,17.65,2.4,10.77,136.62,18,1.18,3,139,0.7,8.5,0.74,4.94,False,0.48,49.99
textiles,MSME_TE28790,1.3800000000000001,1.92,18.66,3.28,11.33,32.36,5,1.54,2,406,0.7,2.01,0.7,8.39,False,0.33,75.65
electronics,MSME_EL28791,5.92,8.64,18.43,1.08,12.5,61.52,9,2.96,3,185,0.78,4.28,0.7,9.97,True,0.74,25.77
pharmaceuticals,MSME_PH28792,1.54,1.84,5.5,1.81,0.6,144.38,6,4.29,2,415,0.35,3.8,0.77,8.17,False,0.59,16.88
gems and jewelry,MSME_GE28793,0.6799999999999999,0.8,26.12,0.21,7.92,72.68,4,1.17,2,495,0.69,7.48,0.69,3.68,False,0.42,20.59
gems and jewelry,MSME_GE28794,1.7100000000000002,2.1,34.67,0.95,8.47,119.5,9,3.64,3,302,0.7,7.41,0.66,-4.0,False,0.39,48.87
leather,MSME_LE28795,0.23,0.32,27.07,3.39,-4.7,76.63,9,4.56,0,488,0.32,7.96,0.5,-7.18,False,0.48,14.55
alcoholic beverages,MSME_AL28796,2.04,2.98,135.29,34.08,14.75,155.99,10,3.79,3,118,0.74,1.41,0.45,-0.2,False,0.35,75.49
leather,MSME_LE28797,3.92,5.41,29.39,1.99,4.02,29.36,10,1.58,2,204,0.57,9.5,0.51,3.99,False,0.5,28.0
textiles,MSME_TE28798,2.47,3.09,16.2,4.16,1.25,0.67,15,1.06,0,73,0.4,3.2,0.69,6.97,False,0.4,71.97
chemicals,MSME_CH28799,4.609999999999999,5.46,37.68,1.52,10.51,89.91,0,2.56,1,391,0.74,9.86,0.69,8.81,True,0.32,82.88
chemicals,MSME_CH28800,3.48,5.13,18.13,0.09,14.65,111.34,16,3.02,2,138,0.86,1.8,0.62,-2.48,True,0.41,46.13
gems and jewelry,MSME_GE28801,1.2100000000000002,1.8,3.98,1.96,10.84,151.73,15,1.53,2,69,0.52,8.14,0.72,9.52,False,0.36,26.95
gems and jewelry,MSME_GE28802,7.25,9.15,1.13,2.02,9.0,87.64,13,3.37,1,89,0.0,1.71,0.71,-9.96,False,0.39,27.52
alcoholic beverages,MSME_AL28803,7.39,8.24,135.57,33.85,0.61,49.36,10,4.41,1,472,0.39,9.07,0.38,3.17,False,0.35,81.25
electronics,MSME_EL28804,1.74,2.2,13.72,4.71,12.11,117.55,19,3.95,2,254,0.63,8.71,0.69,-8.66,True,0.73,27.82
pharmaceuticals,MSME_PH28805,29.09,37.38,13.25,3.45,6.7,172.28,5,0.6,5,459,0.54,0.69,0.8,-2.83,False,0.45,79.05
electronics,MSME_EL28806,1.2100000000000002,1.56,26.23,4.49,18.44,63.78,0,4.95,2,123,0.88,6.38,0.68,-5.33,True,0.5,47.12
marine products,MSME_MA28807,3.98,5.83,9.85,2.99,1.28,14.97,1,3.51,1,478,0.38,5.85,0.59,-0.33,False,0.43,12.73
electronics,MSME_EL28808,0.19,0.26,35.05,4.58,14.87,25.28,11,1.53,3,486,0.81,9.15,0.67,1.74,True,0.6,71.44
marine products,MSME_MA28809,0.59,0.71,22.53,4.26,14.21,134.34,14,4.43,3,102,0.76,2.12,0.59,-2.55,False,0.4,22.88
footwear,MSME_FO28810,13.83,18.24,21.47,1.2,11.68,49.39,20,3.9,3,476,0.76,3.02,0.56,-4.67,False,0.34,49.0
leather,MSME_LE28811,10.74,14.25,4.58,3.04,3.97,144.96,18,4.91,3,336,0.27,5.1,0.52,-7.33,False,0.37,16.97
gems and jewelry,MSME_GE28812,0.6699999999999999,0.98,11.93,3.3,14.53,165.09,8,4.36,2,298,0.72,8.42,0.62,-6.14,False,0.45,16.26
marine products,MSME_MA28813,5.779999999999999,8.56,26.46,1.3,7.57,163.57,8,1.32,2,250,0.66,7.9,0.61,7.54,False,0.41,45.9
chemicals,MSME_CH28814,6.85,9.72,4.78,3.05,14.99,169.9,20,4.47,3,479,0.56,1.16,0.72,-9.06,True,0.48,43.79
alcoholic beverages,MSME_AL28815,16.580000000000002,18.32,128.25,32.77,5.51,107.68,11,4.45,1,284,0.51,6.76,0.48,5.52,False,0.41,33.62
footwear,MSME_FO28816,4.81,5.41,28.98,0.31,3.87,159.19,18,3.86,1,348,0.59,9.03,0.51,6.12,False,0.4,43.88
footwear,MSME_FO28817,12.33,15.32,21.4,3.52,14.11,62.17,0,3.05,1,268,0.77,7.13,0.56,1.89,False,0.37,68.1
marine products,MSME_MA28818,17.860000000000003,23.18,22.08,1.02,8.95,199.09,6,2.2,0,5,0.7,6.61,0.59,0.16,False,0.49,10.78
textiles,MSME_TE28819,3.85,4.79,19.62,4.47,9.03,169.96,7,3.25,0,420,0.61,6.16,0.7,2.14,False,0.41,62.41
chemicals,MSME_CH28820,4.89,7.04,8.28,3.17,0.86,14.16,7,3.54,0,124,0.33,6.21,0.83,7.23,True,0.4,63.27
alcoholic beverages,MSME_AL28821,10.34,12.28,143.87,35.72,8.68,113.16,1,2.28,1,48,0.59,0.93,0.35,1.1,False,0.47,31.43
textiles,MSME_TE28822,0.64,0.86,10.38,2.96,4.62,172.68,1,2.14,2,303,0.47,3.33,0.79,5.1,False,0.46,26.65
chemicals,MSME_CH28823,4.489999999999999,5.84,3.81,3.15,2.69,53.85,5,1.14,3,354,0.15,7.45,0.62,8.96,True,0.48,84.2
gems and jewelry,MSME_GE28824,2.92,4.2,9.94,2.6,14.3,182.27,11,1.85,2,230,0.73,6.24,0.55,-5.94,False,0.39,18.94
pharmaceuticals,MSME_PH28825,1.6800000000000002,2.0,32.76,1.46,1.79,176.73,16,3.08,2,186,0.52,4.81,0.8,-7.08,False,0.78,91.55
pharmaceuticals,MSME_PH28826,3.18,4.57,16.93,3.51,14.93,186.38,9,0.31,5,194,0.77,1.03,0.86,6.7,False,0.67,29.41
alcoholic beverages,MSME_AL28827,1.9500000000000002,2.68,131.64,31.65,14.99,143.88,13,4.84,1,306,0.75,6.99,0.39,-5.68,False,0.49,81.77
pharmaceuticals,MSME_PH28828,4.51,6.41,7.12,0.01,9.69,60.87,17,1.6,2,224,0.74,1.62,0.93,7.29,False,0.67,55.32
chemicals,MSME_CH28829,1.61,2.32,16.3,4.93,0.87,6.3,5,0.66,1,268,0.37,8.17,0.71,6.01,True,0.42,32.96
chemicals,MSME_CH28830,11.08,12.45,6.52,4.93,4.49,140.66,9,2.97,3,154,0.23,3.98,0.69,-9.5,True,0.3,89.87
gems and jewelry,MSME_GE28831,7.42,9.13,37.16,2.12,9.16,95.63,11,2.09,1,87,0.7,8.5,0.68,3.32,False,0.39,61.51
gems and jewelry,MSME_GE28832,5.02,7.01,12.6,0.9,8.45,150.7,18,4.08,1,225,0.68,5.25,0.64,2.16,False,0.44,49.72
pharmaceuticals,MSME_PH28833,5.64,7.66,34.16,2.41,11.97,110.64,2,4.36,5,204,0.76,6.68,0.75,-3.29,False,0.56,62.22
electronics,MSME_EL28834,13.94,15.63,29.63,4.74,15.96,27.0,11,0.76,2,172,0.82,1.36,0.74,4.34,True,0.48,54.52
footwear,MSME_FO28835,2.7600000000000002,4.04,27.99,0.13,7.74,134.56,5,1.98,3,446,0.69,3.41,0.5,1.77,False,0.44,61.6
footwear,MSME_FO28836,0.33,0.39,9.54,0.16,4.88,134.18,4,2.1,0,234,0.61,3.88,0.54,5.23,False,0.33,52.63
pharmaceuticals,MSME_PH28837,2.08,2.94,30.71,3.84,9.49,179.57,1,1.69,5,250,0.67,9.47,0.79,-2.21,False,0.88,34.05
footwear,MSME_FO28838,3.0700000000000003,4.55,6.62,3.8,0.91,58.97,5,2.7,0,420,0.24,9.72,0.52,-9.82,False,0.48,66.64
electronics,MSME_EL28839,0.75,1.09,23.15,2.36,15.06,65.72,15,0.23,2,185,0.83,5.39,0.7,-1.28,True,0.61,43.75
gems and jewelry,MSME_GE28840,0.57,0.71,21.22,1.72,9.56,189.18,7,4.57,2,281,0.7,2.0,0.64,8.43,False,0.4,93.64
leather,MSME_LE28841,0.15000000000000002,0.21,4.17,4.89,-0.01,193.4,2,3.26,2,359,0.0,6.62,0.48,3.4,False,0.43,65.92
pharmaceuticals,MSME_PH28842,0.12000000000000001,0.18,34.69,0.89,11.06,153.25,11,1.98,2,489,0.76,3.74,0.81,5.45,False,0.55,36.54
marine products,MSME_MA28843,3.21,3.92,34.25,3.46,4.78,139.46,5,1.78,2,444,0.57,7.42,0.65,3.37,False,0.44,73.09
footwear,MSME_FO28844,3.25,4.67,29.34,0.94,14.57,20.46,19,2.08,3,287,0.85,7.11,0.55,-4.51,False,0.5,45.2
alcoholic beverages,MSME_AL28845,10.41,15.51,127.28,37.19,4.43,29.64,8,4.87,3,295,0.46,8.65,0.41,3.13,False,0.42,65.74
electronics,MSME_EL28846,21.270000000000003,23.73,8.48,3.52,12.86,151.96,5,3.59,2,492,0.61,8.96,0.65,-9.04,True,0.86,8.32
alcoholic beverages,MSME_AL28847,1.08,1.46,115.89,39.42,0.22,190.76,13,1.92,0,98,0.34,5.4,0.43,6.61,False,0.47,46.74
leather,MSME_LE28848,3.63,4.36,33.34,1.5,-3.29,59.03,2,1.12,1,393,0.4,8.19,0.53,-1.19,False,0.33,41.73
alcoholic beverages,MSME_AL28849,2.02,2.25,144.41,30.31,12.07,44.34,13,0.38,0,446,0.7,0.18,0.44,6.45,False,0.45,22.14
gems and jewelry,MSME_GE28850,0.7899999999999999,0.92,20.26,0.44,4.27,65.12,16,4.23,2,269,0.6,3.29,0.6,7.1,False,0.45,81.34
chemicals,MSME_CH28851,9.99,13.62,23.34,1.15,4.95,90.86,14,1.98,2,473,0.6,6.93,0.7,-4.29,True,0.42,41.88
footwear,MSME_FO28852,1.3800000000000001,1.6,22.88,3.56,4.25,192.38,18,4.03,1,196,0.53,8.34,0.66,5.41,False,0.46,36.61
chemicals,MSME_CH28853,3.44,5.12,18.57,0.27,7.45,58.14,14,2.9,3,176,0.68,0.57,0.76,-3.69,True,0.32,99.6
chemicals,MSME_CH28854,3.42,4.06,29.6,1.95,0.64,154.86,2,0.11,1,370,0.48,6.5,0.69,-5.35,True,0.46,57.79
marine products,MSME_MA28855,7.529999999999999,9.57,11.25,4.96,14.9,22.29,20,0.94,0,263,0.65,7.58,0.76,-2.35,False,0.36,66.53
gems and jewelry,MSME_GE28856,0.31,0.44,37.03,3.58,13.02,172.39,10,0.26,1,423,0.78,6.46,0.59,-1.8,False,0.39,44.51
marine products,MSME_MA28857,6.9399999999999995,9.0,13.81,4.73,14.69,155.27,14,2.53,0,264,0.7,3.49,0.57,-4.74,False,0.37,71.57
gems and jewelry,MSME_GE28858,4.8999999999999995,5.39,0.11,4.31,8.45,73.9,19,3.02,3,64,0.0,6.71,0.61,-6.97,False,0.42,11.22
textiles,MSME_TE28859,18.78,25.32,16.54,3.47,12.24,164.85,5,4.09,0,328,0.7,1.64,0.85,-3.89,False,0.42,84.66
chemicals,MSME_CH28860,15.26,20.88,16.94,0.37,6.13,67.13,16,3.78,3,373,0.64,7.2,0.76,-5.62,True,0.42,81.72
textiles,MSME_TE28861,2.52,2.95,17.34,3.59,13.66,4.27,9,2.47,2,333,0.74,4.3,0.65,-7.1,False,0.45,26.15
gems and jewelry,MSME_GE28862,5.609999999999999,6.81,24.38,4.32,14.38,123.76,0,2.18,3,28,0.77,6.23,0.71,9.67,False,0.45,63.0
gems and jewelry,MSME_GE28863,1.4600000000000002,2.11,22.34,1.76,4.11,51.27,16,0.62,1,227,0.56,7.95,0.75,9.51,False,0.44,20.74
footwear,MSME_FO28864,13.02,14.41,35.8,3.24,9.76,104.67,19,3.72,1,318,0.7,9.1,0.52,-5.78,False,0.32,70.18
footwear,MSME_FO28865,11.799999999999999,16.19,19.67,0.59,5.79,104.51,1,4.56,2,165,0.63,8.63,0.43,8.68,False,0.45,75.97
leather,MSME_LE28866,1.12,1.64,27.9,3.36,2.12,187.25,6,2.3,2,53,0.49,5.54,0.53,2.7,False,0.45,93.13
footwear,MSME_FO28867,0.73,1.01,22.84,2.54,4.95,191.11,12,1.84,3,134,0.57,8.0,0.6,2.47,False,0.34,5.9
leather,MSME_LE28868,9.16,11.01,19.07,3.38,2.11,13.11,0,2.97,1,360,0.46,4.66,0.39,-8.52,False,0.37,34.52
marine products,MSME_MA28869,7.3,8.14,39.23,1.84,5.75,119.18,20,3.96,0,127,0.62,8.99,0.54,0.17,False,0.49,82.08
alcoholic beverages,MSME_AL28870,3.27,4.48,112.16,33.52,4.91,39.79,9,2.82,0,287,0.47,4.96,0.39,-9.49,False,0.32,82.17
chemicals,MSME_CH28871,6.949999999999999,9.36,32.63,1.58,12.69,108.85,19,1.33,3,369,0.79,5.89,0.75,9.62,True,0.46,57.59
chemicals,MSME_CH28872,1.35,1.76,28.78,4.52,10.49,111.64,12,2.64,2,79,0.68,9.06,0.71,-0.16,True,0.33,70.99
pharmaceuticals,MSME_PH28873,6.6899999999999995,9.52,34.36,3.13,4.39,193.88,8,0.06,4,46,0.56,3.06,0.86,-6.3,False,0.83,29.99
gems and jewelry,MSME_GE28874,2.56,3.73,30.16,3.09,3.83,25.64,15,4.16,3,178,0.54,1.9,0.66,2.97,False,0.48,94.64
marine products,MSME_MA28875,14.17,16.76,25.76,3.49,14.59,34.68,1,2.64,0,321,0.8,4.8,0.61,7.82,False,0.37,46.05
electronics,MSME_EL28876,6.01,6.64,12.03,3.55,16.17,28.56,19,4.89,1,35,0.76,2.46,0.77,2.26,True,0.72,27.24
electronics,MSME_EL28877,4.1499999999999995,5.82,3.07,0.67,16.07,9.58,8,0.96,1,142,0.79,9.27,0.75,-2.62,True,0.81,82.46
textiles,MSME_TE28878,9.27,11.6,17.37,0.53,8.36,20.79,11,4.55,2,377,0.69,6.35,0.7,4.02,False,0.37,41.52
footwear,MSME_FO28879,0.9199999999999999,1.06,31.39,0.45,14.65,56.98,17,2.44,3,369,0.86,5.04,0.56,2.5,False,0.3,22.09
textiles,MSME_TE28880,4.25,6.22,17.83,1.34,14.07,113.91,8,4.41,0,301,0.81,9.35,0.76,-3.71,False,0.37,12.02
chemicals,MSME_CH28881,6.05,8.38,19.29,2.09,10.57,48.35,13,0.9,3,290,0.71,5.08,0.73,-0.67,True,0.33,52.27
marine products,MSME_MA28882,1.58,2.26,3.29,2.11,8.91,177.96,0,0.34,2,368,0.4,8.97,0.58,-5.98,False,0.45,15.6
leather,MSME_LE28883,10.0,11.6,37.16,2.19,-2.67,114.26,1,3.0,0,176,0.4,9.29,0.56,-1.73,False,0.47,95.25
footwear,MSME_FO28884,1.77,2.07,14.9,4.24,9.68,16.1,4,3.33,3,425,0.6,5.5,0.47,5.32,False,0.34,46.99
pharmaceuticals,MSME_PH28885,1.1,1.48,9.85,2.3,7.6,73.75,7,4.15,3,103,0.57,4.89,0.71,1.78,False,0.75,6.79
gems and jewelry,MSME_GE28886,0.14,0.19,10.95,0.36,5.88,70.78,20,1.16,1,46,0.63,2.97,0.57,8.12,False,0.34,63.85
leather,MSME_LE28887,4.6499999999999995,6.9,13.39,3.27,0.66,160.42,9,4.18,0,262,0.39,7.69,0.4,-3.85,False,0.49,53.7
gems and jewelry,MSME_GE28888,14.12,16.37,6.31,2.01,4.94,51.34,18,3.19,1,105,0.46,6.83,0.59,-6.98,False,0.47,94.13
chemicals,MSME_CH28889,6.9799999999999995,10.23,7.7,4.52,7.72,158.89,17,4.42,1,172,0.4,3.27,0.71,-5.65,True,0.49,53.86
chemicals,MSME_CH28890,4.2299999999999995,4.85,25.01,4.24,9.31,143.57,6,1.59,1,134,0.65,8.64,0.72,1.51,True,0.49,7.59
pharmaceuticals,MSME_PH28891,3.31,3.76,13.71,3.44,8.79,166.55,9,1.8,3,26,0.59,3.09,0.9,3.68,False,0.5,46.9
textiles,MSME_TE28892,17.080000000000002,24.9,14.35,2.83,5.98,196.3,1,4.05,0,441,0.55,7.86,0.69,-6.21,False,0.32,29.93
textiles,MSME_TE28893,1.34,1.61,19.22,3.41,9.2,164.2,10,0.53,1,237,0.64,3.68,0.79,-2.29,False,0.43,95.32
pharmaceuticals,MSME_PH28894,1.05,1.54,12.31,1.39,9.99,137.28,14,2.28,3,299,0.69,8.63,0.83,-3.59,False,0.36,84.03
pharmaceuticals,MSME_PH28895,5.609999999999999,8.01,37.3,2.9,0.95,160.99,17,0.72,5,235,0.48,4.07,0.93,-3.19,False,0.32,84.92
gems and jewelry,MSME_GE28896,1.0,1.28,19.28,3.6,3.54,29.64,9,2.68,0,463,0.5,3.29,0.62,-7.45,False,0.38,40.16
footwear,MSME_FO28897,1.32,1.54,32.85,1.23,3.04,85.99,1,2.57,0,96,0.56,1.45,0.51,-9.22,False,0.34,78.36
chemicals,MSME_CH28898,2.87,4.13,8.41,4.61,8.27,74.46,1,1.32,1,114,0.43,5.44,0.67,8.8,True,0.31,70.19
chemicals,MSME_CH28899,9.59,10.67,30.25,2.93,13.15,108.0,19,1.29,1,221,0.78,4.31,0.71,2.95,True,0.42,76.8
leather,MSME_LE28900,3.33,4.34,7.9,1.56,-2.39,16.48,7,0.66,3,11,0.34,2.21,0.48,-0.82,False,0.44,98.15
footwear,MSME_FO28901,1.75,2.0,21.44,4.95,1.75,158.66,12,1.6,1,416,0.43,6.46,0.62,6.51,False,0.46,53.4
footwear,MSME_FO28902,0.72,0.87,30.62,3.36,14.59,154.21,9,2.43,2,460,0.81,1.14,0.49,-3.53,False,0.45,26.82
leather,MSME_LE28903,2.61,3.25,32.31,3.68,2.14,197.05,10,1.53,0,162,0.5,1.35,0.51,9.42,False,0.34,51.76
pharmaceuticals,MSME_PH28904,5.2299999999999995,6.25,32.45,4.62,11.41,77.07,20,1.47,4,324,0.71,4.12,0.84,8.03,False,0.65,95.22
footwear,MSME_FO28905,7.71,8.92,32.61,4.04,13.01,175.69,17,3.38,2,222,0.76,1.28,0.51,7.98,False,0.44,30.87
alcoholic beverages,MSME_AL28906,6.699999999999999,8.12,111.14,33.05,7.38,123.91,6,3.77,3,376,0.54,2.95,0.45,8.23,False,0.44,52.46
chemicals,MSME_CH28907,3.27,4.73,14.74,0.59,5.81,195.09,12,0.79,1,96,0.63,0.23,0.63,-8.12,True,0.46,64.05
electronics,MSME_EL28908,0.24000000000000002,0.35,13.04,2.71,10.98,72.79,9,1.34,1,442,0.67,3.16,0.68,7.58,True,0.49,46.3
electronics,MSME_EL28909,8.41,12.6,38.9,4.28,15.75,6.9,0,3.65,1,36,0.84,5.82,0.68,6.38,True,0.75,58.25
gems and jewelry,MSME_GE28910,11.62,16.79,11.66,2.82,8.03,11.82,7,1.51,3,330,0.58,1.41,0.57,4.1,False,0.31,30.79
gems and jewelry,MSME_GE28911,5.81,6.43,35.77,3.3,3.85,183.55,6,1.66,1,237,0.55,7.35,0.66,9.65,False,0.33,31.22
chemicals,MSME_CH28912,9.799999999999999,10.89,26.59,0.26,10.86,99.4,0,2.99,2,464,0.77,3.68,0.64,-0.86,True,0.39,53.0
alcoholic beverages,MSME_AL28913,0.56,0.72,111.49,35.71,14.37,44.48,5,1.31,0,495,0.7,9.86,0.53,-8.29,False,0.45,95.12
gems and jewelry,MSME_GE28914,2.87,3.95,17.95,4.68,12.67,143.28,13,3.7,1,377,0.69,5.91,0.69,2.88,False,0.38,66.02
marine products,MSME_MA28915,4.1499999999999995,5.82,35.5,2.55,7.23,188.11,6,3.21,1,87,0.64,3.37,0.63,5.58,False,0.44,54.58
footwear,MSME_FO28916,1.4600000000000002,1.68,15.2,3.58,14.25,124.48,9,0.5,0,338,0.74,0.93,0.57,3.16,False,0.32,23.09
pharmaceuticals,MSME_PH28917,15.77,22.13,29.53,3.96,9.13,121.82,12,4.72,2,305,0.66,6.04,0.89,-5.74,False,0.82,18.09
leather,MSME_LE28918,6.0,7.23,7.23,1.09,0.49,19.6,1,0.45,0,68,0.44,2.41,0.59,-3.43,False,0.37,79.4
gems and jewelry,MSME_GE28919,12.049999999999999,17.25,27.73,3.75,1.19,145.78,2,2.91,3,410,0.46,6.75,0.62,5.18,False,0.45,63.74
footwear,MSME_FO28920,3.0900000000000003,4.62,34.76,4.19,11.05,158.92,11,4.02,2,324,0.72,8.17,0.62,0.57,False,0.34,5.66
chemicals,MSME_CH28921,3.8000000000000003,4.75,24.69,2.2,8.2,193.63,15,3.92,2,28,0.66,3.83,0.69,-8.23,True,0.41,90.44
